Year,Month,YM,RegUncertaintyIndex_Econ,RegUncertaintyIndex_Broad,RegUncertaintyIndex_Journal
1993,3,99,0.5480667388542886,0.5325411160323447,0.8102802774344121
1993,4,100,0.5357980737104091,0.5419774952391758,0.6506315653216794
1993,5,101,0.511370414466797,0.47236474695005143,0.6836426969145567
1993,6,102,0.5092182459804893,0.5002695631698754,0.7328105247435194
1993,7,103,0.6623118789263855,0.6516966199863566,0.9389626326406244
1993,8,104,0.6329005319155021,0.5869618097834223,0.8831035316744602
1993,9,105,0.5914071039472003,0.65417373554215,0.7839180060585434
1993,10,106,0.534829487226059,0.5201997567007203,0.8532988557781331
1993,11,107,0.5503321570890174,0.5609315807674305,0.8051715708228376
1993,12,108,0.583632281166835,0.5074124468329174,0.5536711353332648
1994,1,109,0.7989305342946873,0.7787587190078661,0.934341017884987
1994,2,110,0.6442631229712191,0.5736728638577326,0.48602049724725066
