Year,Month,YM,UncertaintyIndex
2018,8,404,0.602241193
2018,9,405,0.54503157
2018,10,406,0.555378251
2018,11,407,0.609856381
2018,12,408,0.55720234
2019,1,409,0.562526362
2019,2,410,0.492868807
2019,3,411,0.49509065
2019,4,412,0.548810048
2019,5,413,0.585214318
2019,6,414,0.579850187
2019,7,415,0.573899378
2019,8,416,0.499427582
2019,9,417,0.538491993
2019,10,418,0.515848076
2019,11,419,0.535087072
2019,12,420,0.506152392
2020,1,421,0.548500488
2020,2,422,0.527535727
2020,3,423,0.627875723
2020,4,424,0.684077826
2020,5,425,0.618422442
2020,6,426,0.622041539
2020,7,427,0.521933568
2020,8,428,0.56088911
2020,9,429,0.52052878
2020,10,430,0.505129507
2020,11,431,0.591616604
2020,12,432,0.515997813
2021,1,433,0.509763357
2021,2,434,0.533799117
2021,3,435,0.5545852
2021,4,436,0.504263454
2021,5,437,0.562698212
2021,6,438,0.563651346
2021,7,439,0.588027489
2021,8,440,0.587212064
2021,9,441,0.554989241
2021,10,442,0.556608938
2021,11,443,0.536993552
2021,12,444,0.626406178
