Year,Month,YM,RegUncertaintyIndex
2011,10,322,0.639472862
2011,11,323,0.643731318
2011,12,324,0.654336087
2012,1,325,0.661910654
2012,2,326,0.677002121
2012,3,327,0.616614066
2012,4,328,0.685753313
2012,5,329,0.672351114
2012,6,330,0.693212851
2012,7,331,0.696297257
2012,8,332,0.50995437
2012,9,333,0.693803047
2012,10,334,0.618139057
2012,11,335,0.690685278
2012,12,336,0.814283453
2013,1,337,0.755284587
2013,2,338,0.681725659
2013,3,339,0.727029847
2013,4,340,0.7686401
2013,5,341,0.603554392
2013,6,342,0.728037481
2013,7,343,0.538057404
2013,8,344,0.660772084
2013,9,345,0.630057055
2013,10,346,0.710166824
2013,11,347,0.573772368
2013,12,348,0.640127753
2014,1,349,0.726650177
2014,2,350,0.699454919
2014,3,351,0.706071507
2014,4,352,0.555533381
2014,5,353,0.67473683
2014,6,354,0.651120855
2014,7,355,0.65435159
2014,8,356,0.690503306
2014,9,357,0.689483507
2014,10,358,0.580200646
2014,11,359,0.710825758
2014,12,360,0.793721004
2015,1,361,0.701275832
2015,2,362,0.670026032
2015,3,363,0.632537415
2015,4,364,0.733090407
2015,5,365,0.649842488
2015,6,366,0.590509912
2015,7,367,0.629495513
2015,8,368,0.625193173
2015,9,369,0.590782639
2015,10,370,0.733475627
2015,11,371,0.767678243
2015,12,372,0.53921615
2016,1,373,0.743161146
2016,2,374,0.681183002
2016,3,375,0.707184213
2016,4,376,0.747934231
2016,5,377,0.743158152
2016,6,378,0.67993487
2016,7,379,0.736973717
2016,8,380,0.626691367
2016,9,381,0.657385672
2016,10,382,0.640295412
2016,11,383,0.791275214
2016,12,384,0.661103368
2017,1,385,0.639966561
2017,2,386,0.695154729
2017,3,387,0.76367998
2017,4,388,0.571113
2017,5,389,0.554163459
2017,6,390,0.799456992
2017,7,391,0.594948537
2017,8,392,0.577698862
2017,9,393,0.63638268
2017,10,394,0.697022451
2017,11,395,0.570379743
2017,12,396,0.643282666
2018,1,397,0.596090449
2018,2,398,0.667583612
2018,3,399,0.625600592
2018,4,400,0.667651549
2018,5,401,0.640051843
2018,6,402,0.687017272
2018,7,403,0.620458632
2018,8,404,0.624922083
2018,9,405,0.649653207
2018,10,406,0.708680423
2018,11,407,0.610172351
2018,12,408,0.618477953
2019,1,409,0.615098915
2019,2,410,0.571141655
2019,3,411,0.556247845
2019,4,412,0.660494949
2019,5,413,0.682125704
2019,6,414,0.756244029
2019,7,415,0.7280655
2019,8,416,0.611613906
2019,9,417,0.599113217
2019,10,418,0.640042599
2019,11,419,0.587833314
2019,12,420,0.670305438
2020,1,421,0.717291357
2020,2,422,0.581316178
2020,3,423,0.650169651
2020,4,424,0.609867382
2020,5,425,0.55769637
2020,6,426,0.696408682
2020,7,427,0.588341738
2020,8,428,0.695831617
2020,9,429,0.524428895
2020,10,430,0.5925416
2020,11,431,0.83023343
2020,12,432,0.54903136
2021,1,433,0.678333714
2021,2,434,0.664290586
2021,3,435,0.658850387
2021,4,436,0.635726571
2021,5,437,0.633161526
2021,6,438,0.607300728
2021,7,439,0.666114199
2021,8,440,0.668575913
2021,9,441,0.728430564
2021,10,442,0.642685308
2021,11,443,0.656703497
2021,12,444,0.664037038
